"dwal","p","u:0","u:1","u:2","ybar:0","ybar:1","ybar:2","Points:0","Points:1","Points:2"
1.138444559e-03,9.694610773e+04,3.918196475e+00,1.364657399e-02,0.000000000e+00,3.838318996e+00,1.585692136e-02,0.000000000e+00,2.173420000e-01,-3.219905544e-02,0.000000000e+00
1.061482100e-03,9.694610676e+04,3.814361980e+00,1.207686690e-02,0.000000000e+00,3.737129500e+00,1.431983996e-02,0.000000000e+00,2.173420000e-01,-3.227601790e-02,0.000000000e+00
9.457216507e-04,9.694610530e+04,3.658182875e+00,9.715845645e-03,0.000000000e+00,3.584928779e+00,1.200789154e-02,0.000000000e+00,2.173420000e-01,-3.239177835e-02,0.000000000e+00
8.687591925e-04,9.694610433e+04,3.554348380e+00,8.146138551e-03,0.000000000e+00,3.483739283e+00,1.047081014e-02,0.000000000e+00,2.173420000e-01,-3.246874081e-02,0.000000000e+00
7.529987428e-04,9.694610322e+04,3.411427460e+00,6.278307993e-03,0.000000000e+00,3.342710575e+00,8.679864616e-03,0.000000000e+00,2.173420000e-01,-3.258450126e-02,0.000000000e+00
7.002399269e-04,9.694610269e+04,3.276814828e+00,5.371529313e-03,0.000000000e+00,3.210197283e+00,7.753073833e-03,0.000000000e+00,2.173420000e-01,-3.263726007e-02,0.000000000e+00
6.208845581e-04,9.694610190e+04,3.074341840e+00,4.007629167e-03,0.000000000e+00,3.010881945e+00,6.359073166e-03,0.000000000e+00,2.173420000e-01,-3.271661544e-02,0.000000000e+00
5.681257422e-04,9.694610137e+04,2.939729208e+00,3.100850487e-03,0.000000000e+00,2.878368652e+00,5.432282383e-03,0.000000000e+00,2.173420000e-01,-3.276937426e-02,0.000000000e+00
4.887703733e-04,9.694610078e+04,2.746315331e+00,2.048932433e-03,0.000000000e+00,2.686491172e+00,4.317148073e-03,0.000000000e+00,2.173420000e-01,-3.284872963e-02,0.000000000e+00
4.526034847e-04,9.694610060e+04,2.553961434e+00,1.599017875e-03,0.000000000e+00,2.498135984e+00,3.789461850e-03,0.000000000e+00,2.173420000e-01,-3.288489652e-02,0.000000000e+00
3.982042958e-04,9.694610033e+04,2.264638897e+00,9.222942784e-04,0.000000000e+00,2.214827968e+00,2.995760661e-03,0.000000000e+00,2.173420000e-01,-3.293929570e-02,0.000000000e+00
3.620374072e-04,9.694610016e+04,2.072285000e+00,4.723797211e-04,0.000000000e+00,2.026472780e+00,2.468074438e-03,0.000000000e+00,2.173420000e-01,-3.297546259e-02,0.000000000e+00
3.076382183e-04,9.694609994e+04,1.798947370e+00,2.023039693e-05,0.000000000e+00,1.757762108e+00,1.805456076e-03,0.000000000e+00,2.173420000e-01,-3.302986178e-02,0.000000000e+00
2.828453223e-04,9.694609988e+04,1.633135293e+00,-1.322142690e-04,0.000000000e+00,1.597568821e+00,1.568711723e-03,0.000000000e+00,2.173420000e-01,-3.305465468e-02,0.000000000e+00
2.455539356e-04,9.694609979e+04,1.383734728e+00,-3.615087004e-04,0.000000000e+00,1.356619565e+00,1.212620799e-03,0.000000000e+00,2.173420000e-01,-3.309194606e-02,0.000000000e+00
